folder,filename,image_index,downsample_factor,trim_percent,trim_lo,trim_hi,mu_1,hard_mean_1,median_1,mode_1,sigma_1,weight_1,n_class_1,mu_2,hard_mean_2,median_2,mode_2,sigma_2,weight_2,n_class_2,n_valid_pixels,n_sampled_pixels,n_fit_pixels,converged,n_iter
tomo_sample_2_051_rec,recon_00398.tiff,398,100,0.5,-0.000522474147438,0.000838881346863,-5.37963487261e-05,-5.37931632458e-05,-5.12300248374e-05,-5.67789554037e-05,7.22559397946e-05,0.358543212828,29137,0.000378452766233,0.000378590726529,0.000374156457838,0.000358876662877,8.22375641517e-05,0.641456787172,52081,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00399.tiff,399,100,0.5,-0.000536645123211,0.000811756275652,-5.36139523143e-05,-5.37023776579e-05,-5.0517366617e-05,-5.88817455412e-05,7.37625084153e-05,0.358210343393,29097,0.00037864371821,0.000378725197013,0.000374857365387,0.000384925006151,8.18848408684e-05,0.641789656607,52121,8204092,82040,81218,True,8
tomo_sample_2_051_rec,recon_00400.tiff,400,100,0.5,-0.000522276902921,0.000806381755392,-5.43914128967e-05,-5.44038377387e-05,-5.19625173183e-05,-5.53999480076e-05,7.32558118258e-05,0.355670256717,28901,0.000378551984811,0.000378676136351,0.000374447001377,0.000361392912026,8.09844589064e-05,0.644329743283,52317,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00401.tiff,401,100,0.5,-0.000561529694824,0.000845681928622,-5.41448913157e-05,-5.42541919911e-05,-5.14628482051e-05,-5.38274811917e-05,7.46591934313e-05,0.356854334567,28985,0.000378351303353,0.00037842855501,0.000374346156605,0.000368462313025,8.19649941211e-05,0.643145665433,52233,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00402.tiff,402,100,0.5,-0.0005585638716,0.000821434484096,-5.42348837026e-05,-5.43536710524e-05,-5.15118626936e-05,-3.50148163261e-05,7.42483185127e-05,0.359036267694,29159,0.000378613632539,0.000378670126459,0.00037430683733,0.000378795333374,8.09373412121e-05,0.640963732306,52059,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00403.tiff,403,100,0.5,-0.000546234251815,0.000831569286238,-5.40670030384e-05,-5.4167185856e-05,-5.17399021192e-05,-5.93283162552e-05,7.21810937683e-05,0.358375753103,29107,0.000378963464212,0.000379023062477,0.000374456780264,0.00035178183658,8.14389077454e-05,0.641624246897,52111,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00404.tiff,404,100,0.5,-0.000499159017345,0.000837116370094,-5.47266512475e-05,-5.47495921177e-05,-5.28157579538e-05,-4.61190840559e-05,6.95615939087e-05,0.358207875511,29104,0.000378031645033,0.000378136405803,0.000374264331185,0.000388330851544,8.17128287045e-05,0.641792124489,52114,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00405.tiff,405,100,0.5,-0.00055890251766,0.000826149292116,-5.38980533306e-05,-5.39807537928e-05,-5.12360365974e-05,-4.74081090105e-05,7.26989958666e-05,0.359536206828,29204,0.00037842934573,0.000378502279883,0.000374122450012,0.000364592850792,8.12243381675e-05,0.640463793172,52014,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00406.tiff,406,100,0.5,-0.000528075526236,0.000833255713515,-5.40736711382e-05,-5.4148859094e-05,-5.15192114108e-05,-5.85402648691e-05,7.12532830742e-05,0.362834945163,29471,0.000378203902868,0.000378265698716,0.000374303635908,0.000378099907298,8.04806814815e-05,0.637165054837,51747,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00407.tiff,407,100,0.5,-0.000542345294089,0.000819229918416,-5.33531593655e-05,-5.34518713808e-05,-5.05386597069e-05,-4.7169187737e-05,7.26500280742e-05,0.358980441517,29156,0.000379459510694,0.000379517506185,0.000375190749764,0.000369936246453,8.0762132635e-05,0.641019558483,52062,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00408.tiff,408,100,0.5,-0.000529522224097,0.000810319098819,-5.39529159199e-05,-5.40204649852e-05,-5.13398517796e-05,-5.13097863032e-05,7.22562616983e-05,0.360361313247,29273,0.000378059243488,0.000378140347859,0.000373529648641,0.000384583786233,8.10173287393e-05,0.639638686753,51945,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00409.tiff,409,100,0.5,-0.000520561290614,0.000812997647736,-5.33994556419e-05,-5.34270717838e-05,-5.0557189752e-05,-5.70158489312e-05,7.08189720962e-05,0.359598577331,29216,0.000378407307803,0.000378506879041,0.00037431504461,0.000374516138513,8.07722975618e-05,0.640401422669,52002,8204092,82040,81218,True,7
tomo_sample_2_051_rec,recon_00410.tiff,410,100,0.5,-0.000542324330891,0.000794425694621,-5.30963901408e-05,-5.31768830927e-05,-5.04939780512e-05,-4.94131602542e-05,7.31639489379e-05,0.361164374985,29335,0.000378407675023,0.000378469419085,0.000374088413082,0.000369333754091,7.93251759457e-05,0.638835625015,51883,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00411.tiff,411,100,0.5,-0.000539181336644,0.000815408163471,-5.34040315774e-05,-5.34936432457e-05,-5.13952854817e-05,-4.11578874429e-05,7.12276667812e-05,0.359660512184,29212,0.000379160386775,0.000379219809187,0.000374694456696,0.000371812875846,8.07732852254e-05,0.640339487816,52006,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00412.tiff,412,100,0.5,-0.000584638759901,0.000824918372964,-5.40674316211e-05,-5.4187460352e-05,-5.1147701015e-05,-3.96935130242e-05,7.4735884867e-05,0.361425444994,29353,0.000378803750498,0.000378861233171,0.000374811264919,0.000376254091648,8.16449601482e-05,0.638574555006,51865,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00413.tiff,413,100,0.5,-0.000577853941359,0.000831318928977,-5.4656324131e-05,-5.46898844759e-05,-5.15063657076e-05,-4.99056383293e-05,7.38314765693e-05,0.357690170734,29061,0.000379730659249,0.000379833640037,0.000375170435291,0.00037538454189,8.14516457768e-05,0.642309829266,52157,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00414.tiff,414,100,0.5,-0.000583595473727,0.000831073066511,-5.46498232687e-05,-5.47357160215e-05,-5.1844981499e-05,-5.56838747876e-05,7.58854987326e-05,0.359622012875,29212,0.000380451678363,0.00038053522542,0.000375802235794,0.000376524497617,8.16509649097e-05,0.640377987125,52006,8204092,82040,81218,True,7
tomo_sample_2_051_rec,recon_00415.tiff,415,100,0.5,-0.000602919558296,0.000816707935883,-5.42366349647e-05,-5.43878801887e-05,-5.13354680152e-05,-5.58310959633e-05,7.58288215928e-05,0.360573592634,29279,0.000379827127591,0.000379861692328,0.000375458039343,0.000372462581858,8.04199745645e-05,0.639426407366,51939,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00416.tiff,416,100,0.5,-0.00055278586573,0.00081755459425,-5.44306026464e-05,-5.44792702605e-05,-5.20800494996e-05,-5.49960520618e-05,7.22399821633e-05,0.356234083163,28939,0.000380165592033,0.000380245570941,0.00037583723315,0.00036598838062,8.06104402512e-05,0.643765916837,52279,8204093,82040,81218,True,7
